Player,Nation,Position,Team,Age,MP,Starts,Min,Goals,Assists,G-PK,PK,Pkatt,Yellow,Red,Season,Team’s Points for Season
Jemima Dahou,eng ENG,MF,manchester city,,1,0,7,0,0,0,0,0,0,0,2022-2023,47
Kenza Dali,fr FRA,MF,aston villa,31,21,21,1805,5,8,5,0,0,0,0,2022-2023,37
Rachel Daly,eng ENG,FW,aston villa,30,22,22,1956,22,6,19,3,3,2,0,2022-2023,37
Yana Daniels,be BEL,"FW,MF",liverpool,30,17,8,745,0,0,0,0,0,0,0,2022-2023,23
Anouk Denton,eng ENG,"DF,FW",west ham,19,5,3,245,0,0,0,0,0,0,0,2022-2023,21
Natasha Dowie,eng ENG,FW,liverpool,34,7,5,400,2,1,2,0,0,0,0,2022-2023,23
Natasha Dowie,eng ENG,"FW,MF",reading,34,10,7,642,1,0,1,0,0,0,0,2022-2023,11
Mary Earps,eng ENG,GK,manchester utd,29,22,22,1980,0,0,0,0,0,0,0,2022-2023,56
Georgia Eaton-Collins,eng ENG,"DF,MF",leicester city,22,5,3,272,0,0,0,0,0,0,0,2022-2023,16
Amalie Eikeland,no NOR,"MF,DF",reading,26,22,22,1980,1,1,1,0,0,2,0,2022-2023,11
Bethany England,eng ENG,FW,chelsea,28,8,2,255,2,0,2,0,0,0,0,2022-2023,58
Bethany England,eng ENG,FW,tottenham,28,12,12,1009,12,1,11,1,1,0,0,2022-2023,18
Magdalena Eriksson,se SWE,DF,chelsea,28,20,18,1576,1,0,1,0,0,0,0,2022-2023,58
Gemma Evans,wls WAL,DF,reading,25,19,17,1510,0,1,0,0,0,1,0,2022-2023,11
Lisa Evans,sct SCO,"FW,MF",west ham,30,22,16,1411,3,2,3,0,0,1,0,2022-2023,21
Niamh Fahey,ie IRL,DF,liverpool,34,12,12,988,0,0,0,0,0,1,0,2022-2023,23
Chelsea Ferguson,eng ENG,MF,brighton,17,2,0,27,0,0,0,0,0,0,0,2022-2023,16
Melisa Filis,eng ENG,"MF,FW",west ham,20,9,3,299,0,2,0,0,0,2,0,2022-2023,21
Megan Finnigan,eng ENG,DF,everton,24,16,13,1190,2,0,2,0,0,0,0,2022-2023,30
Megan Finnigan,eng ENG,DF,everton,24,16,13,1190,2,0,2,0,0,0,0,2022-2023,30
